Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Ti,V,Cr,Zr,Nb,Mo,Hf,W,TA,tA,ln(Ribbon Thickness (μm))
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,2.995732274
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,903,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,763,3600,2.862200881
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,843,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,853,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,723.018904,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,741.5357741,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,772.6714525,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823.6104331,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,842.4441254,3600,2.862200881
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,833,3600,2.862200881
73.5,16.5,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,853,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813.15,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1173.15,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,973.15,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,813.15,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,853.15,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,803.15,3600,2.995732274
73.5,16.5,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813.15,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,753.7266,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773.15,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,793.7873,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813.2107,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,833.241,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,844.1667,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,863.5901,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,881.7995,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,903.6508,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,933.9998,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,973.4535,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1072.391,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1173.757,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,772.543,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,795.0013,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,802.2851,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,812.6037,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,823.5294,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,832.6341,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,842.9527,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,853.2714,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,852.6644,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,883.0134,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,903.6508,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,933.3928,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,972.8465,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1072.391,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1172.543,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,771.6848,1760.2668,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,741.972,3601.4,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,722.5434,3555.4281,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,721.4,15101,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,741.4744,14936.36,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,722.1846,54919.06,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,742.907,54971.4,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,722.3082,177000,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,743.08,177000,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,722.3813,354000,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,702.3052,350000,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,772.8176,176000,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,776.58,55056,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,803.1315,55123.8344,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,772.0836,3584.8978,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,801.6989,14977.6182,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,802.1945,3547.2074,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,802.4465,1794.6503,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,822.2355,55503.0167,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,822.0956,14725.3154,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,822.2687,3529.3253,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,820.73,1754.1372,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,841.6343,573.0253,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,861.8252,290.6627,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,861.3894,572.5078,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,840.1663,1752.5785,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,840.0461,3514.0689,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,840.4396,14381.6994,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,840.532,53200.6368,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,869.5263,53446.9837,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,869.7505,14620.9271,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,869.9963,3530.1865,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,870.757,1729.4388,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,861.267,1161.6596,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,870.9472,575.6703,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,900.3805,288.4304,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,899.7502,1747.8088,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,900.2651,3546.3265,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,898.7479,14428.9354,2.890371758
79,8,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,298,0,2.890371758
77,10,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,298,0,2.890371758
75,12,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,298,0,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,298,0,2.890371758
72,15,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,298,0,2.890371758
71,16,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,298,0,2.890371758
70,17,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,298,0,2.890371758
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,762.6699,3600,2.890371758
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,772.8386,3600,2.890371758
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,783.1467,3600,2.890371758
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,793.1727,3600,2.890371758
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,802.7764,3600,2.890371758
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,812.9449,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773.2551,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,793.5632,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,803.5706,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813.4451,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823.1846,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,834.8835,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,844.0633,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,854.3617,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,863.7548,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,873.0998,3600,2.890371758
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,793.1485,3600,2.890371758
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,803.0201,3600,2.890371758
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,812.9037,3600,2.890371758
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,823.3189,3600,2.890371758
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,835.5878,3600,2.890371758
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,842.5392,3600,2.890371758
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,793.3072,3600,2.890371758
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,802.8996,3600,2.890371758
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,813.3249,3600,2.890371758
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,823.4868,3600,2.890371758
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,833.7988,3600,2.890371758
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,853.1485,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.890371758
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,1.984553773
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.397613415
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.59496362
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.843029711
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.898631992
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,3.122422192
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,1.995951231
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.391666825
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.599105492
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.836208853
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.89619919
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,3.119417855
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,1.978100714
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.399983999
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.598726286
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.837521697
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.897441155
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,3.122783339
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,3.091042453
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.890371758
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.63905733
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,698,116.1290323,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,698,300,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,698,600,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,698,1200,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,698,1800,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,698,3000,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,374.4516129,300,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,378.9677419,300,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,383.483871,300,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,392.4354839,300,2.995732274
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,412.6774194,300,2.995732274
84,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,623,1800,3.113515309
84,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,642.8137803,1800,3.113515309
84,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,662.8882682,1800,3.113515309
84,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,682.9627561,1800,3.113515309
84,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,703.0372439,1800,3.113515309
84,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,722.8510242,1800,3.113515309
84,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,742.9255121,1800,3.113515309
84,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,763.2607076,1800,3.113515309
83.5,4,0,0,8,4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,723,1800,3.113515309
83.25,4,0,0,8,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,623,1800,3.113515309
83.25,4,0,0,8,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,643.0744879,1800,3.113515309
83.25,4,0,0,8,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,662.6275605,1800,3.113515309
83.25,4,0,0,8,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,682.9627561,1800,3.113515309
83.25,4,0,0,8,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,703.0372439,1800,3.113515309
83.25,4,0,0,8,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,723.1117318,1800,3.113515309
83.25,4,0,0,8,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,742.9255121,1800,3.113515309
83.25,4,0,0,8,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,763.2607076,1800,3.113515309
83,4,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,723,1800,3.113515309
82.75,4,0,0,8,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,622.7392924,1800,3.113515309
82.75,4,0,0,8,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,642.8137803,1800,3.113515309
82.75,4,0,0,8,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,662.8882682,1800,3.113515309
82.75,4,0,0,8,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,683.2234637,1800,3.113515309
82.75,4,0,0,8,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,703.0372439,1800,3.113515309
82.75,4,0,0,8,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,723.1117318,1800,3.113515309
82.75,4,0,0,8,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,742.9255121,1800,3.113515309
82.75,4,0,0,8,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,762.7392924,1800,3.113515309
82.5,4,0,0,8,4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,623,1800,3.113515309
82.5,4,0,0,8,4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,643.0744879,1800,3.113515309
82.5,4,0,0,8,4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,662.8882682,1800,3.113515309
82.5,4,0,0,8,4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,682.9627561,1800,3.113515309
82.5,4,0,0,8,4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,703.0372439,1800,3.113515309
82.5,4,0,0,8,4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,723.1117318,1800,3.113515309
82.5,4,0,0,8,4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,742.9255121,1800,3.113515309
82.5,4,0,0,8,4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,763,1800,3.113515309
85,2,0,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,653,7200,2.917770732
85,1,0,0,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,653,7200,2.917770732
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,653,7200,2.917770732
84.3,4,0,0,8,3,0,0,0.7,0,0,0,0,0,0,0,0,0,0,697.2049641,600,2.995732274
