Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,TA,tA,magnetic saturation (T)
83.3,0,9,0.7,0,0,0,0,4,3,0,0,775,360,1.85
83.1,0,9,0.9,0,0,0,0,4,3,0,0,775,360,1.85
82.9,0,9,1.1,0,0,0,0,4,3,0,0,775,360,1.85
82,1,15,1,0,0,0,0,1,0,0,0,620,160,1.7
82,1,14,1,0,0,0,0,2,0,0,0,615,160,1.71
81.3,2,15,1.7,0,0,0,0,0,0,0,0,668,3600,1.75
85.5,1,7,0.5,0,0,0,0,6,0,0,0,703,90,1.8
83,3,11,1,0,0,0,0,0,2,0,0,793,60,1.8
84.8,0,8,1.2,0,0,0,0,0,6,0,0,673,600,1.779625544
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,603.8691444,3600,1.761585366
85,2,8,1,0,0,0,0,0,4,0,0,717.7807933,600,1.757330831
85.5,0,1,0.5,0,0,0,0,2,11,0,0,654,600,1.63
84.8,0,8,1.2,0,0,0,0,0,6,0,0,698,600,1.779524436
83.3,1,9,0.7,0,0,0,0,3,3,0,0,623,360,1.7
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,623.8555943,3600,1.755182927
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,646,600,1.67
83.3,0,9,0.7,0,0,0,0,4,3,0,0,773,360,1.88
82.75,0,0,0.75,0.5,0,0,0,7,9,0,0,743,600,1.659741379
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,650,600,1.59
85,1,13,1,0,0,0,0,0,0,0,0,653,60,1.662
82.8,0,9,1.2,0,0,0,0,0,7,0,0,648,600,1.66326079
81,0,10,1,0,0,0,0,0,8,0,0,743,300,1.672173913
84.4,0,15,0.6,0,0,0,0,0,0,0,0,593,1200,1.57
83,2,10,1,0,0,0,0,0,4,0,0,743,600,1.75
85,2,8,1,0,0,0,0,0,4,0,0,722.7912317,600,1.782239375
84,0,8,1,7,0,0,0,0,0,0,0,823,3600,1.487865186
85,2,8,1,0,0,0,0,0,4,0,0,692.7286013,600,1.544714715
83.2,0,0,0.8,0,0,0,0,6,10,0,0,743,120,1.71
84,0,8,1,7,0,0,0,0,0,0,0,973,3600,1.572816494
81.3,4,13,1.7,0,0,0,0,0,0,0,0,638,3600,1.719920844
81,4,13,2,0,0,0,0,0,0,0,0,653,3600,1.739973615
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,606,600,1.65
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,610,600,1.55
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,883,300,1.472
81,4,11,1,0,0,0,0,0,2,0,1,698,600,1.719195612
84,1,5,0,1,0,0,0,0,9,0,0,693,600,1.67
83.3,4,8,0.7,0,0,0,0,0,4,0,0,748,600,1.94
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,626,600,1.62
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,620,300,1.472
83,3,11,1,0,0,0,0,0,2,0,0,813,30,1.82
83,1,10,1,0,0,0,0,5,0,0,0,703,180,1.79
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,843,300,1.436
81.3,4,13,1.7,0,0,0,0,0,0,0,0,683,3600,1.775329815
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,620,300,1.46
85,2,8,1,0,0,0,0,0,4,0,0,715.3956835,600,1.84
83,0,10,1,0,0,0,0,6,0,0,0,703,180,1.78
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,762,600,1.75
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,883,300,1.46
85,1,9,1,0,0,0,0,0,4,0,0,653,7200,1.84
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,643.5729772,3600,1.771646341
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,655,600,1.73
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,666,600,1.7
85,2,8,1,0,0,0,0,0,4,0,0,737.822547,600,1.815680604
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,630,600,1.51
85,2,8,1,0,0,0,0,0,4,0,0,687.7181628,600,1.577604336
81.3,4,13,1.7,0,0,0,0,0,0,0,0,653,3600,1.750527704
73.5,13.5,9,1,3,0,0,0,0,0,0,0,852.9323308,1800,1.198652732
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,657,600,1.64
81.3,4,13,1.7,0,0,0,0,0,0,0,0,668,3600,1.770580475
81.3,4,13,1.7,0,0,0,0,0,0,0,0,668,3600,1.76
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,360,1.78
81,4,11,1,0,0,0,0,0,2,0,1,698,60,1.629798903
84,1,5,0,1,0,0,0,0,9,0,0,633,600,1.68
83.8,0,15,1.2,0,0,0,0,0,0,0,0,593,1200,1.6
85.5,0,1,0.5,0,0,0,0,2,11,0,0,664,600,1.64
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,670,600,1.61
82.9,0,9,1.1,0,0,0,0,4,3,0,0,650,360,1.69
82,1,14,1,0,0,0,0,2,0,0,0,615,180,1.71
83,1,14,1,0,0,0,0,1,0,0,0,600,160,1.7
84,1,13,1,0,0,0,0,1,0,0,0,575,160,1.7
85,2,8,1,0,0,0,0,0,4,0,0,727.8016701,600,1.812652506
85.5,0,1,0.5,0,0,0,0,2,11,0,0,624,600,1.59
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,843,300,1.42
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,883,300,1.438
83.3,4,8,0.7,0,0,0,0,0,4,0,0,747.7824296,600,1.88
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,686,600,1.72
82.7,2,14,1.3,0,0,0,0,0,0,0,0,664.00271,3600,1.85
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,664.00271,3600,1.824695122
73.5,15.5,3,1,3,0,0,0,0,4,0,0,813.15,1800,0.69
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,843,300,1.394
84,2,8,1,0,1,0,0,0,4,0,0,715.3956835,600,1.76
84,0,5,0,1,0,0,0,0,10,0,0,573,600,1.47
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,690,600,1.63
82,1,15,1,0,0,0,0,1,0,0,0,620,180,1.71
82,1,16,1,0,0,0,0,0,0,0,0,653,120,1.658
83.3,0,9,0.7,0,0,0,0,4,3,0,0,623,360,1.72
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,843,300,1.39
85,2,8,1,0,0,0,0,0,4,0,0,732.8121086,600,1.812790408
80.8,0,10,1.2,0,0,0,0,0,8,0,0,673,600,1.608140308
85.5,0,1,0.5,0,0,0,0,2,11,0,0,684,600,1.67
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,756,600,1.72
84,0,1,0.5,1.5,0,0,0,2,11,0,0,789,600,1.6
82,1,16,1,0,0,0,0,0,0,0,0,653,300,1.66
85,2,8,1,0,0,0,0,0,4,0,0,653,7200,1.85
85,2,8,1,0,0,0,0,0,4,0,0,672.8956159,600,1.552425734
82.8,0,9,1.2,0,0,0,0,0,7,0,0,723,600,1.712355054
85.5,0,1,0.5,0,0,0,0,2,11,0,0,704,600,1.69
80.6,5,13,1.4,0,0,0,0,0,0,0,0,664.00271,3600,1.8
81,4,11,1,0,0,0,0,0,2,0,1,698,300,1.689579525
84,0,9,0,7,0,0,0,0,0,0,0,923,300,1.52
85.5,0,1,0.5,0,0,0,0,2,11,0,0,724,600,1.69
85,2,8,1,0,0,0,0,0,4,0,0,647.8434238,600,1.51045182
81,4,13,2,0,0,0,0,0,0,0,0,638,3600,1.709894459
82,1,16,1,0,0,0,0,0,0,0,0,653,600,1.662
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,749,600,1.81
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,716,600,1.69
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,883,300,1.387
83,1,15,1,0,0,0,0,0,0,0,0,653,120,1.662
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,620,300,1.441
83,1,15,1,0,0,0,0,0,0,0,0,653,300,1.668
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,709,600,1.72
85,0,1,0.5,0.5,0,0,0,2,11,0,0,611,600,1.51
84.5,0,1,0.5,1,0,0,0,2,11,0,0,773,600,1.66
84,0,1,0.5,1.5,0,0,0,2,11,0,0,762,600,1.56
84,0,1,0.5,1.5,0,0,0,2,11,0,0,782,600,1.58
81,4,11,1,0,0,0,0,0,2,0,1,698,180,1.689579525
84.5,0,1,0.5,1,0,0,0,2,11,0,0,674,600,1.55
83.1,0,9,0.9,0,0,0,0,4,3,0,0,650,360,1.73
82.7,0,9,1.3,0,0,0,0,4,3,0,0,650,360,1.7
83,1,14,1,0,0,0,0,1,0,0,0,600,180,1.705
84,1,13,1,0,0,0,0,1,0,0,0,575,180,1.71
82,1,16,1,0,0,0,0,0,0,0,0,653,180,1.658
83,1,15,1,0,0,0,0,0,0,0,0,653,180,1.665
83,1,15,1,0,0,0,0,0,0,0,0,653,600,1.668
84,1,14,1,0,0,0,0,0,0,0,0,653,120,1.7
85,2,8,1,0,0,0,0,0,4,0,0,622.7912317,600,1.50150543
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,620,300,1.38
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,883,300,1.394
84.5,0,1,0.5,1,0,0,0,2,11,0,0,663,600,1.57
84,0,1,0.5,1.5,0,0,0,2,11,0,0,681,600,1.55
85,0,1,0.5,0.5,0,0,0,2,11,0,0,763,600,1.67
84,0,1,0.5,1.5,0,0,0,2,11,0,0,641,600,1.34
82.8,0,9,1.2,0,0,0,0,0,7,0,0,698,600,1.697195119
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,729,600,1.75
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,736,600,1.68
83.25,4,8,0.75,0,0,0,0,0,4,0,0,723.1117318,1800,1.812788589
83.5,4,8,0.5,0,0,0,0,0,4,0,0,723,1800,1.8097712
85,0,1,0.5,0.5,0,0,0,2,11,0,0,671,600,1.61
85,0,1,0.5,0.5,0,0,0,2,11,0,0,756,600,1.66
84,0,1,0.5,1.5,0,0,0,2,11,0,0,742,600,1.55
84,1,14,1,0,0,0,0,0,0,0,0,653,180,1.7
84,1,14,1,0,0,0,0,0,0,0,0,653,300,1.702
85,0,1,0.5,0.5,0,0,0,2,11,0,0,631,600,1.52
85,0,1,0.5,0.5,0,0,0,2,11,0,0,691,600,1.63
84.5,0,1,0.5,1,0,0,0,2,11,0,0,753,600,1.63
84,1,14,1,0,0,0,0,0,0,0,0,653,600,1.705
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,943,300,1.485
84.5,0,1,0.5,1,0,0,0,2,11,0,0,733,600,1.63
84,0,1,0.5,1.5,0,0,0,2,11,0,0,701,600,1.58
86,0,6,1,0,0,7,0,0,0,0,0,925,3600,1.514724496
85,1,13,1,0,0,0,0,0,0,0,0,653,120,1.664
85,0,1,0.5,0.5,0,0,0,2,11,0,0,716,600,1.66
84.5,0,1,0.5,1,0,0,0,2,11,0,0,694,600,1.57
85,1,13,1,0,0,0,0,0,0,0,0,653,600,1.672
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,740,300,1.52
83.3,4,6,0.7,0,0,0,0,0,6,0,0,743,600,1.77
85,1,13,1,0,0,0,0,0,0,0,0,653,180,1.668
85,0,1,0.5,0.5,0,0,0,2,11,0,0,736,600,1.64
85,1,13,1,0,0,0,0,0,0,0,0,653,300,1.7
84,0,5,1,1,0,0,0,0,9,0,0,573,600,1.51
83,1,14,1,0,0,0,0,1,0,0,0,600,300,1.71
83,1,14,1,0,0,0,0,1,0,0,0,600,600,1.712
83,1,14,1,0,0,0,0,1,0,0,0,600,1200,1.711
83,1,14,1,0,0,0,0,1,0,0,0,600,1800,1.698
82,1,15,1,0,0,0,0,1,0,0,0,620,300,1.705
82,1,15,1,0,0,0,0,1,0,0,0,620,600,1.706
82,1,15,1,0,0,0,0,1,0,0,0,620,1200,1.706
82,1,15,1,0,0,0,0,1,0,0,0,620,1800,1.705
82,1,14,1,0,0,0,0,2,0,0,0,615,300,1.706
82,1,14,1,0,0,0,0,2,0,0,0,615,600,1.706
82,1,14,1,0,0,0,0,2,0,0,0,615,1200,1.706
82,1,14,1,0,0,0,0,2,0,0,0,615,1800,1.705
85,0,1,0.5,0.5,0,0,0,2,11,0,0,651,600,1.57
84,1,13,1,0,0,0,0,1,0,0,0,575,300,1.71
84,1,13,1,0,0,0,0,1,0,0,0,575,600,1.71
84,1,13,1,0,0,0,0,1,0,0,0,575,1200,1.71
84,1,13,1,0,0,0,0,1,0,0,0,575,1800,1.71
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,883,300,1.427
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,943,300,1.51
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,943,300,1.45
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,993,300,1.52
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,993,300,1.49
84.5,0,1,0.5,1,0,0,0,2,11,0,0,614,600,1.43
83.25,0,0,0.75,0,0,0,0,7,9,0,0,743,120,1.64
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,620,300,1.434
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,943,300,1.47
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,943,300,1.435
82.8,0,9,1.2,0,0,0,0,0,7,0,0,673,600,1.666372532
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,943,300,1.387
86,0,6,1,0,0,7,0,0,0,0,0,825,3600,1.498202683
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,740,300,1.483
84.3,1,9.2,0,0,0,0,0,0.5,5,0,0,643,600,1.7
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,943,300,1.394
73.5,13.5,9,1,2,1,0,0,0,0,0,0,847,3600,1.20414586
82,0,10,0,0,0,0,0,0,8,0,0,673,600,1.590871231
85,0,1,0.5,0.5,0,0,0,2,11,0,0,658,600,1.64
86,0,6,1,0,0,7,0,0,0,0,0,873,3600,1.236537744
82.5,4,8,1.5,0,0,0,0,0,4,0,0,723.1117318,1800,1.81448211
73.5,13.5,9,1,2,1,0,0,0,0,0,0,847,2700,1.210019161
84,0,1,0.5,1.5,0,0,0,2,11,0,0,621,600,1.4
83.25,0,0,0.75,0,0,0,0,6,10,0,0,743,120,1.65
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,1013,300,1.52
81,3.5,13.5,0,0,0,0,0,2,0,0,0,643,600,1.61
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,1033,300,1.48
73.5,15.5,6,1,3,0,0,0,0,1,0,0,813.15,1800,0.93
86,0,6,1,0,0,7,0,0,0,0,0,875,3600,1.501755126
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,993,300,1.435
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,993,300,1.41
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,993,300,1.387
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,1013,300,1.49
73.5,15.5,5,1,3,0,0,0,0,2,0,0,813.15,1800,0.78
84,1,5,0,1,0,0,0,0,9,0,0,573,600,1.48
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,1033,300,1.458
84,0,1,0.5,1.5,0,0,0,2,11,0,0,661,600,1.41
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,740,300,1.45
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,1013,300,1.47
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,1013,300,1.394
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,1033,300,1.45
86,1,8,1,0,0,0,0,0,4,0,0,732.8121086,600,1.85
73.5,15.5,4,1,3,0,0,0,0,3,0,0,813.15,1800,0.67
84.5,0,1,0.5,1,0,0,0,2,11,0,0,654,600,1.5
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,1013,300,1.45
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,1013,300,1.42
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,1033,300,1.42
73.5,13.5,9,1,2,1,0,0,0,0,0,0,847,1800,1.230748458
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,1013,300,1.435
73.5,13.5,9,1,2,1,0,0,0,0,0,0,847,900,1.251592919
84,0,1,0.5,1.5,0,0,0,2,11,0,0,673,600,1.57
84.5,0,1,0.5,1,0,0,0,2,11,0,0,634,600,1.42
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,740,300,1.464
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,740,300,1.438
78,9,13,0,0,0,0,0,0,0,0,0,643,600,1.56
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,993,300,1.45
83,4,8,1,0,0,0,0,0,4,0,0,723,1800,1.820885122
86,0,6,1,0,0,7,0,0,0,0,0,573,3600,0.593764239
86,0,6,1,0,0,7,0,0,0,0,0,674,3600,0.614969201
73.5,13.5,9,1,3,0,0,0,0,0,0,0,832.8571429,1800,1.218270857
80.8,0,10,1.2,0,0,0,0,0,8,0,0,647,600,1.566474348
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,1033,300,1.408
82.75,4,8,1.25,0,0,0,0,0,4,0,0,723.1117318,1800,1.8318121
72.5,17.5,5,1,3,0,0,1,0,0,0,0,823,1800,1.13
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,740,300,1.413
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,993,300,1.47
73.5,17.5,5,1,3,0,0,0,0,0,0,0,823,1800,1.23
73.3,17.5,5,1,3,0,0,0.2,0,0,0,0,823,1800,1.22
86,0,6,1,3.5,0,3.5,0,0,0,0,0,873,300,1.54
73.1,17.5,5,1,3,0,0,0.4,0,0,0,0,823,1800,1.2
73.5,13.5,9,1,3,0,0,0,0,0,0,0,772.8571429,1800,1.148653632
73.5,13.5,9,1,3,0,0,0,0,0,0,0,823,3600,1.24
73.5,15.5,7,1,3,0,0,0,0,0,0,0,813.15,1800,1.01
74.5,13.5,9,0,3,0,0,0,0,0,0,0,763,3600,1.28
82,0,10,0,0,0,0,0,0,8,0,0,648,600,1.596996436
72.9,17.5,5,1,3,0,0,0.6,0,0,0,0,823,1800,1.17
73.5,13.5,9,1,3,0,0,0,0,0,0,0,813,1800,1.25
73.5,16.5,6,1,3,0,0,0,0,0,0,0,853,3600,1.18
72.7,17.5,5,1,3,0,0,0.8,0,0,0,0,823,1800,1.14
83,2,11,0,0,0,0,0,1,3,0,0,643,600,1.65
73.5,13.5,9,1,3,0,0,0,0,0,0,0,565,3600,1.247222601
74,13.5,9,0.5,3,0,0,0,0,0,0,0,843,3600,1.2553
73.5,13.5,9,1,2,0,0,0,0,0,0,1,833,1800,1.239583333
73.4,13.5,9,1,3,0,0,0.1,0,0,0,0,565,3600,1.116364133
73.5,13.5,9,1,3,0,0,0,0,0,0,0,792.9323308,1800,1.158461345
73.5,13.5,9,1,1.5,0,0,0,0,0,0,1.5,833,1800,1.260416667
73,13.5,9,1,3,0,0,0.5,0,0,0,0,565,3600,1.109703835
73.5,15.5,7,1,3,0,0,0,0,0,0,0,823,3600,1.18
72.5,13.5,9,1,3,0,0,1,0,0,0,0,565,3600,1.076620718
73.5,15.5,7,1,3,0,0,0,0,0,0,0,823,3600,1.18
73,13.5,9,1.5,3,0,0,0,0,0,0,0,833,3600,1.225
73.5,15.5,7,1,3,0,0,0,0,0,0,0,823,3600,1.18
73.5,13.5,9,1,3,0,0,0,0,0,0,0,812.7819549,1800,1.179037306
73.5,13.5,9,1,3,0,0,0,0,0,0,0,822.9323308,1800,1.208341728
73.5,13.5,9,1,3,0,0,0,0,0,0,0,853,3600,1.2401
73.5,13.5,9,1,3,0,0,0,0,0,0,0,823,3600,1.24
73.5,13.5,9,1,3,0,0,0,0,0,0,0,653,7200,1.23
73.5,13.5,9,1,3,0,0,0,0,0,0,0,813,3600,1.490927419
73.5,13.5,9,1,3,0,0,0,0,0,0,0,823,3600,1.24
73.5,13.5,9,1,3,0,0,0,0,0,0,0,823,3600,0.877016653
69.5,13.5,9,1,3,0,0,4,0,0,0,0,793,3600,1.282258065
71.5,13.5,9,1,3,0,0,2,0,0,0,0,793,3600,1.321572581
68.5,13.5,9,1,3,0,0,5,0,0,0,0,793,3600,1.191532258
