Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,TA,tA,ln(Coercivity (A/m))
85,2,8,1,0,0,0,0,0,4,0,0,727.8016701,600,1.937216885
85.5,0,1,0.5,0,0,0,0,2,11,0,0,624,600,1.902107526
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,843,300,1.902107526
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,883,300,1.887069649
83.3,4,8,0.7,0,0,0,0,0,4,0,0,747.7824296,600,1.880630685
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,686,600,1.871802177
82.7,2,14,1.3,0,0,0,0,0,0,0,0,664.00271,3600,1.871802177
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,664.00271,3600,1.866529717
73.5,15.5,3,1,3,0,0,0,0,4,0,0,813.15,1800,1.851002388
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,843,300,1.824549292
84,2,8,1,0,1,0,0,0,4,0,0,715.3956835,600,1.816398602
84,0,5,0,1,0,0,0,0,10,0,0,573,600,1.791759469
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,690,600,1.791759469
82,1,15,1,0,0,0,0,1,0,0,0,620,180,1.791759469
82,1,16,1,0,0,0,0,0,0,0,0,653,120,1.791759469
83.3,0,9,0.7,0,0,0,0,4,3,0,0,623,360,1.791759469
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,843,300,1.791759469
85,2,8,1,0,0,0,0,0,4,0,0,732.8121086,600,1.783496368
80.8,0,10,1.2,0,0,0,0,0,8,0,0,673,600,1.780541509
85.5,0,1,0.5,0,0,0,0,2,11,0,0,684,600,1.774952351
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,756,600,1.774952351
84,0,1,0.5,1.5,0,0,0,2,11,0,0,789,600,1.757857918
82,1,16,1,0,0,0,0,0,0,0,0,653,300,1.757857918
85,2,8,1,0,0,0,0,0,4,0,0,653,7200,1.757857918
85,2,8,1,0,0,0,0,0,4,0,0,672.8956159,600,1.750007639
82.8,0,9,1.2,0,0,0,0,0,7,0,0,723,600,1.743252682
85.5,0,1,0.5,0,0,0,0,2,11,0,0,704,600,1.740466175
80.6,5,13,1.4,0,0,0,0,0,0,0,0,664.00271,3600,1.740466175
81,4,11,1,0,0,0,0,0,2,0,1,698,300,1.727505768
84,0,9,0,7,0,0,0,0,0,0,0,923,300,1.722766598
85.5,0,1,0.5,0,0,0,0,2,11,0,0,724,600,1.722766598
85,2,8,1,0,0,0,0,0,4,0,0,647.8434238,600,1.720758936
81,4,13,2,0,0,0,0,0,0,0,0,638,3600,1.71525904
82,1,16,1,0,0,0,0,0,0,0,0,653,600,1.704748092
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,749,600,1.686398954
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,716,600,1.667706821
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,883,300,1.667706821
83,1,15,1,0,0,0,0,0,0,0,0,653,120,1.648658626
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,620,300,1.648658626
83,1,15,1,0,0,0,0,0,0,0,0,653,300,1.644805056
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,709,600,1.62924054
85,0,1,0.5,0.5,0,0,0,2,11,0,0,611,600,1.62924054
84.5,0,1,0.5,1,0,0,0,2,11,0,0,773,600,1.62924054
84,0,1,0.5,1.5,0,0,0,2,11,0,0,762,600,1.62924054
84,0,1,0.5,1.5,0,0,0,2,11,0,0,782,600,1.62924054
81,4,11,1,0,0,0,0,0,2,0,1,698,180,1.618029215
84.5,0,1,0.5,1,0,0,0,2,11,0,0,674,600,1.609437912
83.1,0,9,0.9,0,0,0,0,4,3,0,0,650,360,1.609437912
82.7,0,9,1.3,0,0,0,0,4,3,0,0,650,360,1.609437912
83,1,14,1,0,0,0,0,1,0,0,0,600,180,1.609437912
84,1,13,1,0,0,0,0,1,0,0,0,575,180,1.609437912
82,1,16,1,0,0,0,0,0,0,0,0,653,180,1.609437912
83,1,15,1,0,0,0,0,0,0,0,0,653,180,1.609437912
83,1,15,1,0,0,0,0,0,0,0,0,653,600,1.609437912
84,1,14,1,0,0,0,0,0,0,0,0,653,120,1.609437912
85,2,8,1,0,0,0,0,0,4,0,0,622.7912317,600,1.589250999
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,620,300,1.589235205
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,883,300,1.589235205
84.5,0,1,0.5,1,0,0,0,2,11,0,0,663,600,1.568615918
84,0,1,0.5,1.5,0,0,0,2,11,0,0,681,600,1.568615918
85,0,1,0.5,0.5,0,0,0,2,11,0,0,763,600,1.547562509
84,0,1,0.5,1.5,0,0,0,2,11,0,0,641,600,1.547562509
82.8,0,9,1.2,0,0,0,0,0,7,0,0,698,600,1.547486338
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,729,600,1.526056303
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,736,600,1.526056303
83.25,4,8,0.75,0,0,0,0,0,4,0,0,723.1117318,1800,1.525184981
83.5,4,8,0.5,0,0,0,0,0,4,0,0,723,1800,1.504957576
85,0,1,0.5,0.5,0,0,0,2,11,0,0,671,600,1.504077397
85,0,1,0.5,0.5,0,0,0,2,11,0,0,756,600,1.504077397
84,0,1,0.5,1.5,0,0,0,2,11,0,0,742,600,1.504077397
84,1,14,1,0,0,0,0,0,0,0,0,653,180,1.504077397
84,1,14,1,0,0,0,0,0,0,0,0,653,300,1.504077397
85,0,1,0.5,0.5,0,0,0,2,11,0,0,631,600,1.481604541
85,0,1,0.5,0.5,0,0,0,2,11,0,0,691,600,1.481604541
84.5,0,1,0.5,1,0,0,0,2,11,0,0,753,600,1.481604541
84,1,14,1,0,0,0,0,0,0,0,0,653,600,1.481604541
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,943,300,1.481604541
84.5,0,1,0.5,1,0,0,0,2,11,0,0,733,600,1.458615023
84,0,1,0.5,1.5,0,0,0,2,11,0,0,701,600,1.458615023
86,0,6,1,0,0,7,0,0,0,0,0,925,3600,1.454264269
85,1,13,1,0,0,0,0,0,0,0,0,653,120,1.446918983
85,0,1,0.5,0.5,0,0,0,2,11,0,0,716,600,1.435084525
84.5,0,1,0.5,1,0,0,0,2,11,0,0,694,600,1.435084525
85,1,13,1,0,0,0,0,0,0,0,0,653,600,1.435084525
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,740,300,1.435084525
83.3,4,6,0.7,0,0,0,0,0,6,0,0,743,600,1.435084525
85,1,13,1,0,0,0,0,0,0,0,0,653,180,1.423108334
85,0,1,0.5,0.5,0,0,0,2,11,0,0,736,600,1.410986974
85,1,13,1,0,0,0,0,0,0,0,0,653,300,1.410986974
84,0,5,1,1,0,0,0,0,9,0,0,573,600,1.386294361
83,1,14,1,0,0,0,0,1,0,0,0,600,300,1.386294361
83,1,14,1,0,0,0,0,1,0,0,0,600,600,1.386294361
83,1,14,1,0,0,0,0,1,0,0,0,600,1200,1.386294361
83,1,14,1,0,0,0,0,1,0,0,0,600,1800,1.386294361
82,1,15,1,0,0,0,0,1,0,0,0,620,300,1.386294361
82,1,15,1,0,0,0,0,1,0,0,0,620,600,1.386294361
82,1,15,1,0,0,0,0,1,0,0,0,620,1200,1.386294361
82,1,15,1,0,0,0,0,1,0,0,0,620,1800,1.386294361
82,1,14,1,0,0,0,0,2,0,0,0,615,300,1.386294361
82,1,14,1,0,0,0,0,2,0,0,0,615,600,1.386294361
82,1,14,1,0,0,0,0,2,0,0,0,615,1200,1.386294361
82,1,14,1,0,0,0,0,2,0,0,0,615,1800,1.386294361
85,0,1,0.5,0.5,0,0,0,2,11,0,0,651,600,1.386294361
84,1,13,1,0,0,0,0,1,0,0,0,575,300,1.386294361
84,1,13,1,0,0,0,0,1,0,0,0,575,600,1.386294361
84,1,13,1,0,0,0,0,1,0,0,0,575,1200,1.386294361
84,1,13,1,0,0,0,0,1,0,0,0,575,1800,1.386294361
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,883,300,1.386294361
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,943,300,1.386294361
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,943,300,1.386294361
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,993,300,1.386294361
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,993,300,1.386294361
84.5,0,1,0.5,1,0,0,0,2,11,0,0,614,600,1.360976553
83.25,0,0,0.75,0,0,0,0,7,9,0,0,743,120,1.360976553
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,620,300,1.360976553
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,943,300,1.360976553
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,943,300,1.360976553
82.8,0,9,1.2,0,0,0,0,0,7,0,0,673,600,1.314431166
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,943,300,1.30833282
86,0,6,1,0,0,7,0,0,0,0,0,825,3600,1.272481236
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,740,300,1.252762968
84.3,1,9.2,0,0,0,0,0,0.5,5,0,0,643,600,1.252762968
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,943,300,1.252762968
73.5,13.5,9,1,2,1,0,0,0,0,0,0,847,3600,1.240340448
82,0,10,0,0,0,0,0,0,8,0,0,673,600,1.239853512
85,0,1,0.5,0.5,0,0,0,2,11,0,0,658,600,1.223775432
86,0,6,1,0,0,7,0,0,0,0,0,873,3600,1.215517227
82.5,4,8,1.5,0,0,0,0,0,4,0,0,723.1117318,1800,1.199417315
73.5,13.5,9,1,2,1,0,0,0,0,0,0,847,2700,1.197780834
84,0,1,0.5,1.5,0,0,0,2,11,0,0,621,600,1.193922468
83.25,0,0,0.75,0,0,0,0,6,10,0,0,743,120,1.193922468
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,1013,300,1.193922468
81,3.5,13.5,0,0,0,0,0,2,0,0,0,643,600,1.16315081
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,1033,300,1.16315081
73.5,15.5,6,1,3,0,0,0,0,1,0,0,813.15,1800,1.157855207
86,0,6,1,0,0,7,0,0,0,0,0,875,3600,1.151292546
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,993,300,1.131402111
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,993,300,1.131402111
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,993,300,1.131402111
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,1013,300,1.131402111
73.5,15.5,5,1,3,0,0,0,0,2,0,0,813.15,1800,1.106561913
84,1,5,0,1,0,0,0,0,9,0,0,573,600,1.098612289
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,1033,300,1.064710737
84,0,1,0.5,1.5,0,0,0,2,11,0,0,661,600,1.029619417
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,740,300,1.029619417
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,1013,300,1.029619417
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,1013,300,1.029619417
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,1033,300,1.029619417
86,1,8,1,0,0,0,0,0,4,0,0,732.8121086,600,1.029619417
73.5,15.5,4,1,3,0,0,0,0,3,0,0,813.15,1800,1.024323814
84.5,0,1,0.5,1,0,0,0,2,11,0,0,654,600,0.993251773
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,1013,300,0.993251773
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,1013,300,0.993251773
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,1033,300,0.993251773
73.5,13.5,9,1,2,1,0,0,0,0,0,0,847,1800,0.966451698
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,1013,300,0.955511445
73.5,13.5,9,1,2,1,0,0,0,0,0,0,847,900,0.938672134
84,0,1,0.5,1.5,0,0,0,2,11,0,0,673,600,0.916290732
84.5,0,1,0.5,1,0,0,0,2,11,0,0,634,600,0.875468737
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,740,300,0.875468737
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,740,300,0.875468737
78,9,13,0,0,0,0,0,0,0,0,0,643,600,0.875468737
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,993,300,0.875468737
83,4,8,1,0,0,0,0,0,4,0,0,723,1800,0.842776243
86,0,6,1,0,0,7,0,0,0,0,0,573,3600,0.787726479
86,0,6,1,0,0,7,0,0,0,0,0,674,3600,0.787726479
73.5,13.5,9,1,3,0,0,0,0,0,0,0,832.8571429,1800,0.766176996
80.8,0,10,1.2,0,0,0,0,0,8,0,0,647,600,0.745776548
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,1033,300,0.741937345
82.75,4,8,1.25,0,0,0,0,0,4,0,0,723.1117318,1800,0.725573438
72.5,17.5,5,1,3,0,0,1,0,0,0,0,823,1800,0.723040711
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,740,300,0.693147181
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,993,300,0.693147181
73.5,17.5,5,1,3,0,0,0,0,0,0,0,823,1800,0.637367127
73.3,17.5,5,1,3,0,0,0.2,0,0,0,0,823,1800,0.609765572
86,0,6,1,3.5,0,3.5,0,0,0,0,0,873,300,0.587786665
73.1,17.5,5,1,3,0,0,0.4,0,0,0,0,823,1800,0.547922066
73.5,13.5,9,1,3,0,0,0,0,0,0,0,772.8571429,1800,0.544366576
73.5,13.5,9,1,3,0,0,0,0,0,0,0,823,3600,0.470003629
73.5,15.5,7,1,3,0,0,0,0,0,0,0,813.15,1800,0.464708027
74.5,13.5,9,0,3,0,0,0,0,0,0,0,763,3600,0.405465108
82,0,10,0,0,0,0,0,0,8,0,0,648,600,0.270343998
72.9,17.5,5,1,3,0,0,0.6,0,0,0,0,823,1800,0.205049808
73.5,13.5,9,1,3,0,0,0,0,0,0,0,813,1800,0.179026661
73.5,16.5,6,1,3,0,0,0,0,0,0,0,853,3600,0.09531018
72.7,17.5,5,1,3,0,0,0.8,0,0,0,0,823,1800,0.037450802
83,2,11,0,0,0,0,0,1,3,0,0,643,600,0
73.5,13.5,9,1,3,0,0,0,0,0,0,0,565,3600,-0.003878603
74,13.5,9,0.5,3,0,0,0,0,0,0,0,843,3600,-0.021427947
73.5,13.5,9,1,2,0,0,0,0,0,0,1,833,1800,-0.105360516
73.4,13.5,9,1,3,0,0,0.1,0,0,0,0,565,3600,-0.150614652
73.5,13.5,9,1,3,0,0,0,0,0,0,0,792.9323308,1800,-0.183379549
73.5,13.5,9,1,1.5,0,0,0,0,0,0,1.5,833,1800,-0.238056835
73,13.5,9,1,3,0,0,0.5,0,0,0,0,565,3600,-0.25710099
73.5,15.5,7,1,3,0,0,0,0,0,0,0,823,3600,-0.287682072
72.5,13.5,9,1,3,0,0,1,0,0,0,0,565,3600,-0.304112371
73.5,15.5,7,1,3,0,0,0,0,0,0,0,823,3600,-0.328504067
73,13.5,9,1.5,3,0,0,0,0,0,0,0,833,3600,-0.371208619
73.5,15.5,7,1,3,0,0,0,0,0,0,0,823,3600,-0.430782916
73.5,13.5,9,1,3,0,0,0,0,0,0,0,812.7819549,1800,-0.539397975
